iter	Passed	Remaining
0	478	238537
1	808	201269
2	1117	185120
3	1481	183666
4	1855	183645
5	2146	17676966	2762	227010
7	3315	233060
8	3639	223380
9	4008	218263
10	4370	213725
11	4712	209081
12	5056	205208
13	5475	204716
14	5843	202429
15	6173	199201
16	6547	197663
17	6957	197272
18	7254	193845
19	7559	190985
20	7954	190516
21	8201	186687
22	8622	186948
23	8905	184295
24	9372	185498
25	9669	183330
26	9957	181151
27	10259	179348
28	10697	179944
29	10973	177846
30	11243	175768
31	11387	171923232	11641	169893333	12137	171403434	12540	171513535	12963	171862
36	13328	171419
37	13735	171508
38	14078	170798
39	14394	169783
40	14778	169578
41	15033	167934242	15460	168224343	15805	167614444	16046	165934545	16372	165184646	16745	164904747	17051	163984848	17387	163364949	17720	162745050	18140	162900
51	18506	162563
52	18879	162293
53	19232	161840
54	19535	160987
55	19946	161020
56	20287	160489
57	20574	159545
58	21028	159891
59	21355	159261
60	21648	158391
61	21989	157888
62	22367	157657
63	22760	157515
64	23037	156581
65	23487	156822
66	23873	156623
67	24102	155409
68	24512	155363
69	24984	155700
70	25416	155764
71	25738	155154
72	25995	154168
73	26437	154280
74	26733	153537
75	27161	153551
76	27407	152546
77	27732	151989
78	28050	151399
79	28369	150828080	28606	149828181	28974	149528282	29342	149218383	29676	148738484	30026	148348585	30395	148045
86	30835	148082
87	31202	147764
88	31597	147573
89	31901	146960
90	32264	146626
91	32637	146329
92	33035	146145
93	33374	145697
94	33860	145886
95	34182	145364
96	34502	144836
97	34788	144176
98	35147	143818
99	35572	143728
100	35915	143304
101	36324	143141
102	36670	142727
103	37138	142785
104	37138	142785
105	38121	144421
106	38586	144423
107	38908	143888
108	39251	143434
109	39487	142594
110	39803	142050
111	40238	141931
112	40571	141451
113	40842	140759
114	41324	140797
115	41694	140446
116	41994	139859
117	42254	139148
118	42460	138270
119	42840	137961
120	43193	137565
121	43513	1370671122	43771	1363791123	44090	1358861124	44410	135399
125	44749	1349691126	45137	1346891127	45506	1343521128	45818	1338471129	46199	1335441130	46514	133053
131	46820	132538
132	47202	1322381133	47581	131929
134	48007	131750
135	48268	131116
