nameseq,k1,k2,k3,k4,k5,label
sp|Q81LS2_p|DNAK_BACAN,3.937672913525722,7.483969405777936,8.973132592751293,9.207212237946562,9.245552706255674,positive
sp|Q81X78_p|ENO_BACAN,4.024577040674992,7.473516267532841,8.64051009040829,8.732121192008563,8.73809225962049,positive
sp|P13243_p|ALF_BACSU,4.028584539057626,7.192962117651316,8.057185142117502,8.13955135239883,8.13442632022093,positive
tr|Q8Y498_p|Q8Y498_LISMO,4.020734345160321,7.177072355918548,8.08281376374635,8.13442632022093,8.129283016944978,positive
sp|P68905_p|ALF_STRP1,4.021008997445636,7.228332802407815,8.123019672805192,8.17990909001493,8.174925682500657,positive
sp|P99136_p|G3P1_STAAN,4.0449118228847585,7.340001801874548,8.275919861336277,8.361360349053275,8.375039431346906,positive
tr|Q8CWN6_p|Q8CWN6_STRR6,4.0763603303380815,7.4668726572810185,8.371223156179964,8.475733430966425,8.471675214392084,positive
sp|Q8Y3P9_p|CATA_LISMO,4.15355737234622,7.700821257823873,8.849185163066352,8.92184093707456,8.918863237274646,positive
sp|Q9L4S1_p|CATA_STAAU,4.187424080087605,7.790583657917856,8.902844013264739,8.963575426460846,8.968666793195124,positive
sp|P19669_p|TAL_BACSU,3.977896895187692,6.986224070100745,7.657102660523253,7.707359132080901,7.700439718141067,positive
sp|Q81V33_p|TAL1_BACAN,3.967102805461008,6.989443841509124,7.706540606141372,7.727920454563212,7.721099188707212,positive
tr|Q81Y15_p|Q81Y15_BACAN,4.098103409241861,7.745090180853042,9.189030734051329,9.351748921349541,9.367666258771012,positive
tr|Q8Y7H4_p|Q8Y7H4_LISMO,4.087170842160428,7.771144063804869,9.179955288217384,9.356403587074881,9.3663222142457,positive
sp|P99161_p|TKT_STAAN,4.070931362770197,7.754801631335245,9.229557574084364,9.358064852276527,9.361943773735293,positive
sp|Q8Y6W0_p|PFKA_LISMO,3.9671115080521107,7.236686621981278,8.186083864517487,8.291122520329026,8.299208018387231,positive
sp|Q65EM9_p|PGK_BACLD,3.964363554591373,7.330605192294241,8.448843645113572,8.580334260223003,8.607330313749646,positive
sp|Q8Y4I2_p|PGK_LISMO,3.929718458725265,7.216208377626357,8.43863897045517,8.59802926816196,8.614709844115248,positive
sp|P68897_p|PGK_STRP1,3.918089652757725,7.294851849929537,8.45192060364914,8.615582260786027,8.622051819456425,positive
