A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3
0,1,0,1,0,1,2,0,0,2,0,0,0,1,0,1,1,3,0,0,0,1,2,1,0,1,3,1,0,1,0,1,1,0,0,0,0,0,3,1,1,1,0,1,2,0,1,0,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0.626260073564215,0.7290759352326727,0.7569817248360018,0.7622614769384697,0.7632627176202084
0,1,0,1,0,2,1,0,0,1,1,0,0,1,0,1,1,4,0,0,1,0,2,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,2,0,1,1,2,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0.6347591080047387,0.7375695412041671,0.7585697919196408,0.7622614769384697,0.7632627176202084
0,0,0,2,1,1,1,0,0,2,0,0,0,1,2,1,1,3,1,0,1,0,1,1,0,1,2,1,0,1,0,1,1,0,0,1,0,0,2,1,1,1,0,0,2,0,0,0,3,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0.631971642010894,0.7411560807387988,0.7609991186318548,0.7626551560365873,0.7632627176202084
0,1,0,1,0,3,0,0,0,1,1,0,0,1,0,1,1,3,0,0,1,0,2,1,0,1,0,2,0,2,1,0,1,0,0,0,0,0,1,1,1,0,1,1,2,0,1,1,2,0,0,1,1,0,2,0,1,1,1,0,0,0,0,0,0.6347591080047387,0.7395100514094359,0.7601578590032799,0.7626551560365873,0.7632627176202084
1,1,0,1,1,2,0,0,0,2,1,0,0,1,0,0,1,3,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,2,1,1,0,1,2,2,0,1,1,2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0.6307356242023471,0.73786536807491,0.7589431956471729,0.763048835134705,0.7632627176202084
0,1,0,1,0,3,1,0,0,1,1,0,0,1,0,1,1,4,0,0,1,0,2,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,2,0,1,1,3,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0.6334054140169824,0.7369618946996594,0.7594110515482158,0.7622614769384697,0.7632627176202084
0,1,0,1,0,2,1,0,0,1,1,0,0,2,0,1,1,3,0,1,1,0,2,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,2,0,1,1,3,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0.6376974433742619,0.7389611717406714,0.7597844552757479,0.763048835134705,0.7632627176202084
1,1,0,1,1,2,0,0,0,2,1,0,0,1,0,0,1,3,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,2,1,1,0,1,2,2,0,1,1,2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0.6322057887003033,0.7401246766468144,0.7597844552757479,0.763048835134705,0.7632627176202084
1,1,0,1,1,2,1,0,0,1,1,0,0,2,0,0,1,3,0,1,1,0,2,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,2,0,1,1,3,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0.6356362277371249,0.7368778332439256,0.7585697919196408,0.7626551560365873,0.7632627176202084
0,1,0,1,0,1,2,0,0,2,0,1,0,1,0,1,1,4,0,0,0,1,2,1,1,0,2,1,0,1,0,1,1,0,0,0,0,0,3,1,1,1,0,0,2,0,1,0,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0.6276938455703034,0.7290759352326727,0.7559841288122835,0.7618677978403521,0.7628471454684355
0,2,0,0,0,2,1,1,0,1,1,0,0,2,0,0,1,3,0,1,2,0,2,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,2,0,1,1,3,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0.6334054140169824,0.7370206615354026,0.7597844552757479,0.7626551560365873,0.7632627176202084
0,1,0,1,0,2,0,1,0,1,1,0,0,1,0,1,1,3,0,0,1,0,2,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,2,0,1,1,2,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0.6383850003589511,0.742272414717337,0.7609046664583441,0.763048835134705,0.7632627176202084
1,1,0,1,1,2,0,1,0,1,1,0,0,1,1,0,1,4,0,0,1,0,2,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,2,0,1,1,3,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0.6356362277371249,0.7376409195108149,0.7596900031022371,0.763048835134705,0.7632627176202084
