nameseq,k-tsallis14.0,k-tsallis24.0,k-tsallis34.0,k-tsallis44.0,k-tsallis54.0,label
sp|Q81LS2_p|DNAK_BACAN,0.3331545312559486,0.3333330849458693,0.3333333270690683,0.3333333313184752,0.3333333318428996,positive
sp|Q81X78_p|ENO_BACAN,0.33318328370211503,0.3333331196911822,0.3333333255882818,0.33333332880364297,0.3333333290518415,positive
sp|P13243_p|ALF_BACSU,0.3331691881928898,0.33333296656056843,0.3333333072975452,0.33333331846947967,0.33333331831022545,positive
tr|Q8Y498_p|Q8Y498_LISMO,0.33315809188875906,0.3333329372879411,0.3333333125661052,0.33333331831022545,0.33333331814868805,positive
sp|P68905_p|ALF_STRP1,0.3331135063094662,0.33333296359212294,0.33333331394935817,0.33333331966596963,0.33333331952360234,positive
sp|P99136_p|G3P1_STAAN,0.3331829019673877,0.33333307276883833,0.33333331763727897,0.3333333231677319,0.3333333242244635,positive
tr|Q8CWN6_p|Q8CWN6_STRR6,0.3331951356295364,0.3333331189578921,0.33333331952246625,0.33333332594530163,0.3333333258826915,positive
sp|Q8Y3P9_p|CATA_LISMO,0.33325622799779275,0.33333324455567115,0.3333333286250793,0.3333333304115128,0.33333333039336493,positive
sp|Q9L4S1_p|CATA_STAAU,0.33325633800443777,0.33333324939574055,0.33333332940187427,0.33333333055144465,0.33333333068260285,positive
sp|P19669_p|TAL_BACSU,0.3331564753202836,0.3333329261933884,0.33333328294280673,0.3333332968209748,0.3333332962918184,positive
sp|Q81V33_p|TAL1_BACAN,0.33312026791458954,0.33333280343903393,0.3333332920380441,0.3333332983491965,0.33333329784943067,positive
tr|Q81Y15_p|Q81Y15_BACAN,0.3331921109376452,0.33333321649286535,0.3333333298866412,0.3333333320205009,0.33333333216007544,positive
tr|Q8Y7H4_p|Q8Y7H4_LISMO,0.3331952028787577,0.33333320914559816,0.3333333304175445,0.33333333208136867,0.3333333321738969,positive
sp|P99161_p|TKT_STAAN,0.3332057912450539,0.33333321724286036,0.33333333082824795,0.33333333211912325,0.33333333216329236,positive
sp|Q8Y6W0_p|PFKA_LISMO,0.3331363190399299,0.3333330310990763,0.3333333124381875,0.3333333218335712,0.3333333226686716,positive
sp|Q65EM9_p|PGK_BACLD,0.33314331660936647,0.33333301723635556,0.333333318849556,0.33333332655901926,0.3333333277139983,positive
sp|Q8Y4I2_p|PGK_LISMO,0.33314452940849193,0.3333328205539119,0.3333333190307529,0.3333333270591835,0.3333333277995705,positive
sp|P68897_p|PGK_STRP1,0.3331274757863506,0.3333330054426615,0.3333333168234011,0.3333333275413043,0.3333333278834139,positive
sp|Q8DN74_p|G6PI_STRR6,0.3332138451214137,0.33333320076823414,0.3333333273803018,0.33333332957604805,0.3333333295506611,positive
sp|Q8Y4I4_p|GPMI_LISMO,0.3332255332448117,0.33333315162205046,0.3333333262359195,0.3333333304930916,0.33333333076040794,positive
tr|Q926S7_p|Q926S7_LISIN,0.3331433673701705,0.3333326593508252,0.3333332710509502,0.3333332986075709,0.33333330025698993,positive
